timestamp,open,high,low,close,volume
2026-07-24 21:00:00+00:00,64170.24,64222.15,64138.0,64156.99,85.84161
2026-07-24 21:15:00+00:00,64157.0,64258.73,64146.99,64180.0,212.48261
2026-07-24 21:30:00+00:00,64180.0,64208.78,64135.99,64174.0,230.80386
2026-07-24 21:45:00+00:00,64174.0,64184.38,64122.29,64155.0,122.68534
2026-07-24 22:00:00+00:00,64155.0,64173.99,64121.86,64160.01,108.39246
2026-07-24 22:15:00+00:00,64160.01,64196.99,64150.0,64167.13,214.22942
2026-07-24 22:30:00+00:00,64167.14,64216.27,64162.35,64179.99,204.37268
2026-07-24 22:45:00+00:00,64180.0,64191.0,64167.62,64169.01,60.60342
2026-07-24 23:00:00+00:00,64169.01,64180.91,64149.99,64149.99,75.35945
2026-07-24 23:15:00+00:00,64150.0,64176.39,64139.01,64176.39,61.01158
2026-07-24 23:30:00+00:00,64176.39,64187.4,64139.21,64179.95,171.69458
2026-07-24 23:45:00+00:00,64179.96,64179.96,64134.71,64139.99,104.8883
2026-07-25 00:00:00+00:00,64140.0,64179.03,64134.99,64135.0,138.42687
2026-07-25 00:15:00+00:00,64135.0,64165.12,64129.99,64149.8,76.19289
2026-07-25 00:30:00+00:00,64149.8,64163.88,64080.66,64102.95,70.39516
2026-07-25 00:45:00+00:00,64102.94,64102.94,64033.18,64073.61,101.5328
2026-07-25 01:00:00+00:00,64073.61,64160.0,64008.77,64022.67,60.57674
2026-07-25 01:15:00+00:00,64022.68,64081.22,64006.55,64056.01,63.32493
2026-07-25 01:30:00+00:00,64056.0,64129.59,64038.0,64129.58,334.83272
2026-07-25 01:45:00+00:00,64129.59,64147.19,64068.0,64068.01,34.34255
2026-07-25 02:00:00+00:00,64068.0,64099.99,64062.79,64086.01,90.43135
2026-07-25 02:15:00+00:00,64086.0,64086.0,64033.97,64060.0,52.22055
2026-07-25 02:30:00+00:00,64059.99,64060.0,64024.41,64053.75,139.25256
2026-07-25 02:45:00+00:00,64053.75,64054.15,64017.87,64052.0,197.68393
2026-07-25 03:00:00+00:00,64052.01,64074.36,64016.65,64034.0,253.28357
2026-07-25 03:15:00+00:00,64033.99,64103.67,64033.99,64080.0,159.15745
2026-07-25 03:30:00+00:00,64080.0,64105.61,64068.0,64093.21,23.94536
2026-07-25 03:45:00+00:00,64093.21,64096.15,64047.44,64085.36,33.12943
2026-07-25 04:00:00+00:00,64085.36,64129.62,64085.36,64129.61,32.87398
2026-07-25 04:15:00+00:00,64129.62,64134.0,64098.2,64104.98,40.09388
2026-07-25 04:30:00+00:00,64104.98,64190.13,64085.15,64190.01,52.79783
2026-07-25 04:45:00+00:00,64190.0,64205.67,64150.05,64181.46,45.61462
2026-07-25 05:00:00+00:00,64181.45,64199.76,64149.37,64149.99,56.03453
2026-07-25 05:15:00+00:00,64150.0,64155.51,64139.99,64150.56,30.1861
2026-07-25 05:30:00+00:00,64150.55,64150.56,64021.76,64036.89,58.9242
2026-07-25 05:45:00+00:00,64036.9,64046.01,63980.01,64024.0,100.47955
2026-07-25 06:00:00+00:00,64024.0,64054.64,64009.99,64054.63,42.1103
2026-07-25 06:15:00+00:00,64054.64,64063.37,63979.99,64012.0,107.42597
2026-07-25 06:30:00+00:00,64012.0,64027.64,63967.72,63991.43,56.52204
2026-07-25 06:45:00+00:00,63991.42,64010.0,63964.57,64010.0,42.48927
2026-07-25 07:00:00+00:00,64010.0,64028.66,64009.99,64021.07,48.41647
2026-07-25 07:15:00+00:00,64021.07,64038.0,64000.0,64025.26,161.38975
2026-07-25 07:30:00+00:00,64025.26,64038.52,64003.23,64030.75,72.94001
2026-07-25 07:45:00+00:00,64030.75,64038.0,64003.19,64003.2,125.61988
2026-07-25 08:00:00+00:00,64003.2,64010.01,63919.91,63961.68,163.94344
2026-07-25 08:15:00+00:00,63961.68,63996.96,63961.67,63996.95,31.52137
2026-07-25 08:30:00+00:00,63996.95,64005.4,63954.0,63957.27,72.25199
2026-07-25 08:45:00+00:00,63957.28,63961.13,63810.0,63876.06,239.81218
2026-07-25 09:00:00+00:00,63876.07,63918.0,63830.0,63873.17,363.96177
2026-07-25 09:15:00+00:00,63873.18,63942.0,63873.18,63941.99,401.80805
2026-07-25 09:30:00+00:00,63941.99,63955.04,63925.3,63937.73,185.96147
2026-07-25 09:45:00+00:00,63937.73,64024.72,63937.73,63999.99,861.88081
2026-07-25 10:00:00+00:00,64000.0,64043.74,64000.0,64043.74,47.48287
2026-07-25 10:15:00+00:00,64043.74,64050.15,64022.26,64036.38,44.98986
2026-07-25 10:30:00+00:00,64036.37,64036.37,63996.0,64030.06,46.09393
2026-07-25 10:45:00+00:00,64030.07,64070.0,64020.0,64070.0,62.01293
2026-07-25 11:00:00+00:00,64069.99,64094.77,64047.09,64073.2,53.12409
2026-07-25 11:15:00+00:00,64073.21,64087.62,64063.59,64086.54,70.65205
2026-07-25 11:30:00+00:00,64086.55,64113.0,64053.0,64053.01,62.75317
2026-07-25 11:45:00+00:00,64053.01,64075.96,64053.0,64064.01,39.93701
2026-07-25 12:00:00+00:00,64064.01,64079.78,64045.56,64062.01,68.15517
